5000,-1.2569425880908967,0.2,0.0,0.0,0.24,0.6
10000,-1.1291281286627055,0.0,0.0,0.0,0.0,1.2
15000,-1.1322287734597922,0.0,0.0,0.0,0.12000000000000002,1.2
20000,-1.2340204406529665,0.0,0.0,0.0,0.12000000000000002,1.2
25000,-1.058525513485074,0.2,0.0,0.0,0.04,1.6
30000,-1.1247849084436894,0.6,0.0,0.0,0.08,0.6
35000,-1.0309736646711827,0.2,0.0,0.0,0.12000000000000002,0.2
40000,-1.137200029194355,0.0,0.0,0.0,0.04,1.4
45000,-1.3331254430115222,0.2,0.0,0.0,0.04,0.4
50000,-1.1045014183968305,0.0,0.0,0.0,0.04,2.0
55000,-0.851678429916501,0.0,0.0,0.2,0.0,1.4
60000,-1.1332560785114765,0.2,0.0,0.0,0.16,0.0
65000,-1.0873754896223544,0.0,0.0,0.0,0.0,0.8
70000,-0.9089386399835349,0.0,0.0,0.2,0.08,0.0
75000,-1.113726456463337,0.0,0.0,0.0,0.16,2.4
80000,-1.042961623519659,0.0,0.0,0.0,0.08,1.4
85000,-1.1089742429554463,0.0,0.0,0.0,0.08,1.0
90000,-1.2373267255723477,0.2,0.0,0.0,0.04,1.0
95000,-1.115342142805457,0.6,0.0,0.0,0.12000000000000002,1.6
100000,-1.1994399443268775,0.4,0.0,0.0,0.0,1.0
